@relation MyRelation

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute y4 numeric
@attribute y5 numeric
@attribute y6 numeric
@attribute z1 numeric
@attribute z2 numeric
@attribute z3 numeric
@attribute z4 numeric
@attribute z5 numeric
@attribute z6 numeric
@attribute or0 numeric
@attribute or1 numeric
@attribute or2 numeric
@attribute or3 numeric
@attribute or4 numeric
@attribute or5 numeric
@attribute or6 numeric
@attribute or7 numeric
@attribute or8 numeric
@attribute att7 {eating,non-eating}

@data
414.839996,829.880005,-218.119995,1122.675903,7536.87207,39399.226563,520,1120,344,328,568,-664,9.809045,22.030151,33.567841,192,552,1008,14,120.368233,112.599228,15.676327,?,120.368233,112.599228,15.676327,?,eating
366.880005,901.960022,-8.48,70.131912,111.243721,564.512146,384,928,48,344,872,-72,6.994975,7.517588,16.241205,40,56,120,6,112.044586,111.202103,35.691521,?,112.044586,111.202103,35.691521,?,eating
403.200012,881.919983,-35.720001,2017.76062,1140.577881,2458.936279,536,928,64,352,776,-216,7.316583,9.246231,20.824121,184,152,280,9,117.08712,112.478683,23.817644,?,117.08712,112.478683,23.817644,?,eating
391.200012,879.960022,114.440002,481.108673,170.10051,4756.067383,464,904,224,344,832,-200,8.80402,8.603015,19.095478,120,72,424,3,115.726425,113.040817,91.557251,?,115.726425,113.040817,91.557251,?,eating
444.559998,854.400024,-53.080002,1677.198486,2815.32666,11376.676758,568,1008,304,336,640,-392,11.577889,21.708542,33.28643,232,368,696,15,120.831078,110.155106,14.676828,?,120.831078,110.155106,14.676828,?,eating
462.160004,844.919983,-73.040001,1036.667725,3259.045166,13363.012695,552,1120,288,320,616,-496,11.336683,18.733669,36.0201,232,504,784,5,121.707542,118.573708,47.383698,?,121.707542,118.573708,47.383698,?,eating
449.559998,821.559998,-257.519989,766.520081,1365.703491,9034.869141,512,888,-104,392,728,-464,7.477387,11.537688,22.472363,120,160,360,18,120.35743,114.098946,12.465341,?,120.35743,114.098946,12.465341,?,eating
548.23999,569.159973,-574.440002,5138.599121,17648.208984,6803.737305,672,1200,-312,432,344,-712,10.572865,28.0201,33.206032,240,856,400,30,130.563705,116.645805,7.877859,?,130.563705,116.645805,7.877859,?,eating
498.839996,716.960022,-446.959991,3433.416992,3265.263916,1295.650146,616,832,-272,416,552,-520,8.562814,11.899497,23.758795,200,280,248,27,126.223885,115.567368,8.517387,?,126.223885,115.567368,8.517387,?,eating
454.320007,746.200012,-449.119995,1481.045898,540.891968,2177.968018,576,808,-296,408,656,-576,7.356784,9.005025,23.879396,168,152,280,24,124.085579,115.14769,9.41232,?,124.085579,115.14769,9.41232,?,eating
315.920013,590.119995,-727.599976,3904.954346,17901.349609,11315.326172,432,872,-432,216,344,-896,10.050251,14.874372,25.20603,216,528,464,42,115.567368,102.922226,5.085996,?,115.567368,102.922226,5.085996,?,eating
355.359985,537.119995,-764.080017,2486.918945,12271.953125,4754.648438,544,776,-568,256,144,-912,8.844221,14.351759,24,288,632,344,32,114.131042,105.345322,6.722498,?,114.131042,105.345322,6.722498,?,eating
356.23999,507.440002,-792,271.388184,4057.082275,4036.809082,408,752,-512,312,440,-864,7.638191,11.175879,22.351759,96,312,352,33,113.569382,108.256142,6.539334,?,113.569382,108.256142,6.539334,?,eating
392.440002,422.480011,-833.039978,1501.397583,7785.081543,4237.751465,584,832,-592,336,24,-1328,9.849246,24.763819,29.98995,248,808,736,30,121.815849,111.007423,7.296494,?,121.815849,111.007423,7.296494,?,eating
331.559998,417.399994,-860.640015,826.986511,3240.813477,758.542725,448,464,-776,288,120,-984,8.321608,10.77387,21.105528,160,344,208,32,116.675362,107.271744,6.654979,?,116.675362,107.271744,6.654979,?,eating
350.040009,573.200012,-735.52002,2853.619629,9670.571289,6674.43457,432,816,-488,224,376,-920,10.854271,19.015076,33.648243,208,440,432,28,115.67485,105.26506,7.707506,?,115.67485,105.26506,7.707506,?,eating
249.720001,562.640015,-795.280029,717.748901,2495.72876,3892.839111,408,784,-512,168,432,-936,10.211055,12.623116,23.316584,240,352,424,29,105.376251,102.892143,6.983781,?,105.376251,102.892143,6.983781,?,eating
733.039978,384.920013,-534.799988,1309.170898,23173.884766,3819.912109,824,560,-432,688,-88,-880,9.125628,16.643215,28.100502,136,648,448,47,144.080505,134.083878,5.680084,?,144.080505,134.083878,5.680084,?,eating
284.679993,915.080017,-158.279999,3214.981201,4581.407227,7000.685059,520,992,160,128,344,-688,10.733668,19.819096,30.592964,392,648,848,18,113.501732,103.834259,11.410715,?,113.501732,103.834259,11.410715,?,eating
233.960007,930.080017,-24.4,633.884277,1138.630615,42173.589844,296,1080,256,96,768,-376,8.201005,14.673367,24,200,312,632,20,105.826508,102.431427,10.014069,?,105.826508,102.431427,10.014069,?,eating
272.839996,933.52002,-23.52,695.571594,1141.896973,9854.482422,392,1064,184,176,744,-280,11.015076,16.562815,25.969849,216,320,464,23,107.65139,103.456146,8.851221,?,107.65139,103.456146,8.851221,?,eating
232.639999,927.719971,175.639999,554.683594,784.359314,4107.769531,320,992,360,184,816,0,8.361809,15.115578,30.592964,136,176,360,12,107.241997,101.980301,16.302189,?,107.241997,101.980301,16.302189,?,eating
228.880005,922.919983,228,237.209488,269.660797,633.566284,304,960,344,200,872,104,7.155779,12.864322,19.9799,104,88,240,17,106.233536,102.005562,11.667001,?,106.233536,102.005562,11.667001,?,eating
